fips,state,county,votes_dem,votes_gop,total_votes,per_dem,per_gop,per_point_diff
13261,Georgia,Sumter County,6314,5733,12148,0.519756338,0.471929536,-0.047826803
13263,Georgia,Talbot County,2114,1392,3522,0.600227144,0.395229983,-0.204997161
13265,Georgia,Taliaferro County,561,360,928,0.604525862,0.387931034,-0.216594828
13267,Georgia,Tattnall County,2062,6054,8185,0.251924252,0.739645693,0.487721442
13269,Georgia,Taylor County,1388,2420,3842,0.361270172,0.629880271,0.268610099
13271,Georgia,Telfair County,1488,2825,4334,0.343331795,0.651822796,0.308491001
13273,Georgia,Terrell County,2376,2004,4416,0.538043478,0.453804348,-0.08423913
13275,Georgia,Thomas County,8708,12969,21872,0.398134601,0.59294989,0.194815289
13277,Georgia,Tift County,5318,10784,16279,0.326678543,0.662448553,0.33577001
13279,Georgia,Toombs County,2938,7873,10914,0.269195529,0.721367051,0.452171523
13281,Georgia,Towns County,1550,6384,7979,0.194259932,0.800100263,0.605840331
13283,Georgia,Treutlen County,952,2101,3077,0.309392265,0.68280793,0.373415665
13285,Georgia,Troup County,11577,18142,30047,0.385296369,0.6037874,0.218491031
13287,Georgia,Turner County,1409,2349,3791,0.371669744,0.619625429,0.247955685
13289,Georgia,Twiggs County,2044,2370,4444,0.459945995,0.53330333,0.073357336
13291,Georgia,Union County,2800,12650,15558,0.179971719,0.813086515,0.633114796
13293,Georgia,Upson County,4203,8606,12905,0.325687718,0.666873305,0.341185587
13295,Georgia,Walker County,5770,23173,29354,0.196566056,0.789432445,0.59286639
13297,Georgia,Walton County,12683,37839,51093,0.248233613,0.740590688,0.492357074
13299,Georgia,Ware County,4169,9903,14189,0.293819156,0.69793502,0.404115864
13301,Georgia,Warren County,1468,1166,2650,0.553962264,0.44,-0.113962264
13303,Georgia,Washington County,4743,4668,9477,0.500474834,0.492560937,-0.007913897
13305,Georgia,Wayne County,2688,9987,12779,0.210345097,0.781516551,0.571171453
13307,Georgia,Webster County,640,748,1391,0.460100647,0.537742631,0.077641984
13309,Georgia,Wheeler County,689,1583,2285,0.301531729,0.692778993,0.391247265
13311,Georgia,White County,2411,12222,14816,0.162729482,0.824919006,0.662189525
13313,Georgia,Whitfield County,10680,25644,36766,0.290485775,0.697492248,0.407006473
13315,Georgia,Wilcox County,861,2402,3279,0.262580055,0.732540409,0.469960354
